H,T,S0,K,m,sigma,price_iter,accuracy,price,price_adj,best_beta,H_log,error_percent,Product
170,0.2,200,200,50,0.2,9.217135,0.00159,9.218695688190111,9.219021742917748,0.0,0.16251892949777494,0.020469949911199055,0.08944271909999159
170,0.2,200,200,50,0.25,10.938534,0.00197,10.935854915476298,10.941472452696633,0.239011,0.16251892949777494,0.026863313645434657,0.11180339887498948
170,0.2,200,200,50,0.3,12.641084,0.00236,12.61514986494384,12.644564032613237,0.49701,0.16251892949777494,0.027529542666103933,0.13416407864998736
170,0.2,200,200,50,0.35,14.288905,0.00276,14.202539220652124,14.288597352489127,0.585001,0.16251892949777494,0.0021530516920138737,0.15652475842498526
170,0.2,200,200,50,0.4,15.843087,0.00317,15.660430922592997,15.842868939801715,0.583001,0.16251892949777494,0.0013763744293377993,0.17888543819998318
170,0.2,200,200,50,0.45,17.287075,0.00359,16.973552235157612,17.29178295471892,0.572001,0.16251892949777494,0.02723395784953239,0.20124611797498107
170,0.2,200,200,50,0.5,18.624583,0.00402,18.14303257174108,18.63226256757053,0.571889,0.16251892949777494,0.04123350074751747,0.22360679774997896
170,0.2,200,200,50,0.55,19.861269,0.00445,19.178974223803134,19.868943506284403,0.575001,0.16251892949777494,0.03864056362361631,0.24596747752497689
170,0.8,200,200,50,0.2,22.358763,0.00364,22.1422891190734,22.35566796971312,0.593001,0.16251892949777494,0.013842582824813933,0.17888543819998318
170,0.8,200,200,50,0.25,24.697765,0.0045,24.126935162186363,24.70065508428076,0.579001,0.16251892949777494,0.01170180492348548,0.22360679774997896
170,0.8,200,200,50,0.3,26.672302,0.00539,25.610033182534565,26.675654435332664,0.580001,0.16251892949777494,0.012568976358566625,0.2683281572999747
170,0.8,200,200,50,0.35,28.339914,0.00629,26.7025532523214,28.340607601470627,0.582001,0.16251892949777494,0.002447436751664978,0.3130495168499705
170,0.8,200,200,50,0.4,29.761671,0.00721,27.512942687625824,29.769743735481136,0.580001,0.16251892949777494,0.02712460426410819,0.35777087639996635
170,0.8,200,200,50,0.45,31.038589,0.00815,28.122667194837447,31.024002114629862,0.585901,0.16251892949777494,0.04699596805170304,0.40249223594996214
170,0.8,200,200,50,0.5,32.138216,0.0091,28.588792901451008,32.14845461378716,0.580889,0.16251892949777494,0.031858065137028976,0.4472135954999579
170,0.8,200,200,50,0.55,33.175384,0.0101,28.950702077913647,33.17546558322646,0.582889,0.16251892949777494,0.00024591494241838987,0.49193495504995377
170,1.4,200,200,50,0.2,32.005437,0.00519,31.225878505151258,32.01646798039696,0.572891,0.16251892949777494,0.034465957758864324,0.23664319132398465
170,1.4,200,200,50,0.25,33.760001,0.00641,32.16493370579397,33.753452391746094,0.585001,0.16251892949777494,0.019397535722549677,0.2958039891549808
170,1.4,200,200,50,0.3,35.131461,0.00764,32.64137188616097,35.127292202919115,0.583889,0.16251892949777494,0.011866278720621886,0.35496478698597694
