H,T,S0,K,m,sigma,price_iter,accuracy,price,price_adj,best_beta,H_log,error_percent,Product
170.0,0.2,200.0,200.0,50.0,0.2,9.217135,0.00159,9.218696,9.219022,0.0,0.162519,0.02047,0.012649
170.0,0.2,200.0,200.0,50.0,0.25,10.938534,0.00197,10.935855,10.941472,0.239011,0.162519,0.026863,0.015811
170.0,0.2,200.0,200.0,50.0,0.3,12.641084,0.00236,12.61515,12.644564,0.49701,0.162519,0.02753,0.018974
170.0,0.2,200.0,200.0,50.0,0.35,14.288905,0.00276,14.202539,14.288597,0.585001,0.162519,0.002153,0.022136
170.0,0.2,200.0,200.0,50.0,0.4,15.843087,0.00317,15.660431,15.842869,0.583001,0.162519,0.001376,0.025298
170.0,0.2,200.0,200.0,50.0,0.45,17.287075,0.00359,16.973552,17.291783,0.572001,0.162519,0.027234,0.02846
170.0,0.2,200.0,200.0,50.0,0.5,18.624583,0.00402,18.143033,18.632263,0.571889,0.162519,0.041234,0.031623
170.0,0.2,200.0,200.0,50.0,0.55,19.861269,0.00445,19.178974,19.868944,0.575001,0.162519,0.038641,0.034785
170.0,0.8,200.0,200.0,50.0,0.2,22.358763,0.00364,22.142289,22.355668,0.593001,0.162519,0.013843,0.025298
170.0,0.8,200.0,200.0,50.0,0.25,24.697765,0.0045,24.126935,24.700655,0.579001,0.162519,0.011702,0.031623
170.0,0.8,200.0,200.0,50.0,0.3,26.672302,0.00539,25.610033,26.675654,0.580001,0.162519,0.012569,0.037947
170.0,0.8,200.0,200.0,50.0,0.35,28.339914,0.00629,26.702553,28.340608,0.582001,0.162519,0.002447,0.044272
170.0,0.8,200.0,200.0,50.0,0.4,29.761671,0.00721,27.512943,29.769744,0.580001,0.162519,0.027125,0.050596
170.0,0.8,200.0,200.0,50.0,0.45,31.038589,0.00815,28.122667,31.024002,0.585901,0.162519,0.046996,0.056921
170.0,0.8,200.0,200.0,50.0,0.5,32.138216,0.0091,28.588793,32.148455,0.580889,0.162519,0.031858,0.063246
170.0,0.8,200.0,200.0,50.0,0.55,33.175384,0.0101,28.950702,33.175466,0.582889,0.162519,0.000246,0.06957
170.0,1.4,200.0,200.0,50.0,0.2,32.005437,0.00519,31.225879,32.016468,0.572891,0.162519,0.034466,0.033466
170.0,1.4,200.0,200.0,50.0,0.25,33.760001,0.00641,32.164934,33.753452,0.585001,0.162519,0.019398,0.041833
170.0,1.4,200.0,200.0,50.0,0.3,35.131461,0.00764,32.641372,35.127292,0.583889,0.162519,0.011866,0.0502
170.0,1.4,200.0,200.0,50.0,0.35,36.264573,0.00889,32.853613,36.271633,0.581001,0.162519,0.019468,0.058566
170.0,1.4,200.0,200.0,50.0,0.4,37.256898,0.01018,32.919359,37.275628,0.579889,0.162519,0.050272,0.066933
170.0,1.4,200.0,200.0,50.0,0.45,38.185973,0.01152,32.904426,38.193193,0.581889,0.162519,0.018908,0.075299
170.0,1.4,200.0,200.0,50.0,0.5,39.044771,0.01291,32.845545,39.056483,0.581001,0.162519,0.029995,0.083666
170.0,1.4,200.0,200.0,50.0,0.55,39.872546,0.01439,32.763471,39.884864,0.581001,0.162519,0.030892,0.092033
170.0,2.0,200.0,200.0,50.0,0.2,40.071454,0.00654,38.551217,40.085339,0.576001,0.162519,0.034651,0.04
170.0,2.0,200.0,200.0,50.0,0.25,40.960372,0.00805,38.2471,40.961452,0.582001,0.162519,0.002637,0.05
170.0,2.0,200.0,200.0,50.0,0.3,41.620758,0.00957,37.712669,41.641881,0.579001,0.162519,0.050752,0.06
170.0,2.0,200.0,200.0,50.0,0.35,42.263781,0.01114,37.127348,42.253904,0.583889,0.162519,0.02337,0.07
170.0,2.0,200.0,200.0,50.0,0.4,42.84013,0.01277,36.563263,42.856067,0.580901,0.162519,0.037202,0.08
170.0,2.0,200.0,200.0,50.0,0.45,43.457753,0.0145,36.045396,43.472557,0.581001,0.162519,0.034066,0.09
170.0,2.0,200.0,200.0,50.0,0.5,44.070882,0.01634,35.579274,44.111839,0.579001,0.162519,0.092934,0.1
170.0,2.0,200.0,200.0,50.0,0.55,44.731709,0.01834,35.16279,44.775426,0.579889,0.162519,0.097731,0.11
170.0,2.6,200.0,200.0,50.0,0.2,47.160069,0.00776,44.818386,47.174805,0.578001,0.162519,0.031247,0.045607
170.0,2.6,200.0,200.0,50.0,0.25,47.124271,0.00954,43.254059,47.125065,0.582001,0.162519,0.001685,0.057009
170.0,2.6,200.0,200.0,50.0,0.3,47.117533,0.01133,41.763817,47.109651,0.583889,0.162519,0.016729,0.068411
170.0,2.6,200.0,200.0,50.0,0.35,47.182169,0.01319,40.458831,47.210848,0.579889,0.162519,0.060783,0.079812
170.0,2.6,200.0,200.0,50.0,0.4,47.423517,0.01517,39.345301,47.438965,0.581001,0.162519,0.032576,0.091214
170.0,2.6,200.0,200.0,50.0,0.45,47.749614,0.0173,38.399884,47.781165,0.580001,0.162519,0.066076,0.102616
170.0,2.6,200.0,200.0,50.0,0.5,48.227897,0.01968,37.594667,48.219501,0.583001,0.162519,0.01741,0.114018
170.0,2.6,200.0,200.0,50.0,0.55,48.747568,0.02227,36.904507,48.736872,0.583001,0.162519,0.021941,0.125419
170.0,3.2,200.0,200.0,50.0,0.2,53.55685,0.00889,50.349918,53.569141,0.579989,0.162519,0.02295,0.050596
170.0,3.2,200.0,200.0,50.0,0.25,52.598741,0.01092,47.55408,52.585096,0.584001,0.162519,0.025942,0.063246
170.0,3.2,200.0,200.0,50.0,0.3,51.879811,0.01296,45.16635,51.89139,0.581001,0.162519,0.022318,0.075895
170.0,3.2,200.0,200.0,50.0,0.35,51.48022,0.01512,43.204774,51.506153,0.580889,0.162519,0.050375,0.088544
170.0,3.2,200.0,200.0,50.0,0.4,51.357145,0.01745,41.600857,51.383811,0.580889,0.162519,0.051923,0.101193
170.0,3.2,200.0,200.0,50.0,0.45,51.441165,0.02004,40.280531,51.471912,0.580889,0.162519,0.059771,0.113842
170.0,3.2,200.0,200.0,50.0,0.5,51.730996,0.02295,39.18234,51.725527,0.582889,0.162519,0.010573,0.126491
170.0,3.2,200.0,200.0,50.0,0.55,52.129252,0.02624,38.258748,52.109119,0.583889,0.162519,0.038621,0.13914
170.0,3.8,200.0,200.0,50.0,0.2,59.428114,0.00995,55.322621,59.425153,0.583001,0.162519,0.004982,0.055136
170.0,3.8,200.0,200.0,50.0,0.25,57.504956,0.0122,51.33887,57.520948,0.580889,0.162519,0.02781,0.06892
170.0,3.8,200.0,200.0,50.0,0.3,56.161655,0.01451,48.108134,56.172533,0.581889,0.162519,0.019369,0.082704
170.0,3.8,200.0,200.0,50.0,0.35,55.284096,0.01697,45.542243,55.324409,0.579889,0.162519,0.07292,0.096488
170.0,3.8,200.0,200.0,50.0,0.4,54.831918,0.01969,43.494276,54.871923,0.580001,0.162519,0.072959,0.110272
170.0,3.8,200.0,200.0,50.0,0.45,54.729736,0.02275,41.839057,54.722349,0.582989,0.162519,0.013497,0.124056
170.0,3.8,200.0,200.0,50.0,0.5,54.801383,0.02624,40.482233,54.804003,0.582001,0.162519,0.004781,0.13784
170.0,3.8,200.0,200.0,50.0,0.55,55.146499,0.03035,39.354731,55.063394,0.586001,0.162519,0.150699,0.151625
170.0,4.4,200.0,200.0,50.0,0.2,64.8277,0.01094,59.845626,64.840042,0.580899,0.162519,0.019038,0.05933
170.0,4.4,200.0,200.0,50.0,0.25,62.012441,0.01343,54.722826,62.040501,0.580001,0.162519,0.045248,0.074162
170.0,4.4,200.0,200.0,50.0,0.3,60.041795,0.01599,50.699168,60.062998,0.581001,0.162519,0.035315,0.088994
170.0,4.4,200.0,200.0,50.0,0.35,58.754349,0.01878,47.573634,58.774275,0.581001,0.162519,0.033913,0.103827
170.0,4.4,200.0,200.0,50.0,0.4,57.994063,0.02187,45.11974,58.009714,0.581889,0.162519,0.026986,0.118659
170.0,4.4,200.0,200.0,50.0,0.45,57.616973,0.0255,43.161788,57.636603,0.581889,0.162519,0.03407,0.133492
170.0,4.4,200.0,200.0,50.0,0.5,57.633135,0.0297,41.573487,57.557088,0.585889,0.162519,0.13195,0.148324
170.0,4.4,200.0,200.0,50.0,0.55,57.819023,0.03465,40.265145,57.70032,0.587001,0.162519,0.2053,0.163156
170.0,5.0,200.0,200.0,50.0,0.2,69.880627,0.01189,63.992334,69.879425,0.582889,0.162519,0.00172,0.063246
170.0,5.0,200.0,200.0,50.0,0.25,66.189197,0.0146,57.780918,66.214894,0.580889,0.162519,0.038823,0.079057
170.0,5.0,200.0,200.0,50.0,0.3,63.57176,0.01742,53.010493,63.634521,0.578889,0.162519,0.098725,0.094868
170.0,5.0,200.0,200.0,50.0,0.35,61.864068,0.02052,49.364426,61.92632,0.579001,0.162519,0.100628,0.11068
