H,T,S0,K,m,sigma,price_iter,accuracy,price,price_adj,best_beta,H_log,error_percent,Product
850.0,0.5,1000.0,1000.0,25.0,0.2,82.471847,0.01055,82.177519,82.485344,0.547001,0.162519,0.016365,0.028284
850.0,0.5,1000.0,1000.0,25.0,0.4,123.866828,0.02108,116.163122,123.897857,0.579889,0.162519,0.02505,0.056569
850.0,0.5,1000.0,1000.0,25.0,0.6,151.587553,0.03261,131.220189,151.700407,0.578889,0.162519,0.074448,0.084853
850.0,2.5,1000.0,1000.0,25.0,0.2,233.807425,0.02926,219.156042,233.860269,0.579901,0.162519,0.022602,0.063246
850.0,2.5,1000.0,1000.0,25.0,0.4,247.117566,0.05809,194.621243,247.196598,0.581889,0.162519,0.031982,0.126491
850.0,2.5,1000.0,1000.0,25.0,0.6,267.66921,0.09766,180.423044,265.970491,0.596001,0.162519,0.634634,0.189737
850.0,4.5,1000.0,1000.0,25.0,0.2,336.678863,0.04294,302.806254,336.934785,0.577001,0.162519,0.076014,0.084853
850.0,4.5,1000.0,1000.0,25.0,0.4,316.285621,0.08832,226.845638,315.274712,0.590889,0.162519,0.319619,0.169706
850.0,4.5,1000.0,1000.0,25.0,0.6,331.203074,0.16903,196.436663,325.647859,0.612889,0.162519,1.677284,0.254558
851.0,0.5,1000.0,1000.0,25.0,0.2,82.453138,0.01055,82.146999,82.469484,0.541889,0.161343,0.019825,0.028284
851.0,0.5,1000.0,1000.0,25.0,0.4,123.690863,0.02108,115.823786,123.674995,0.584001,0.161343,0.012829,0.056569
851.0,0.5,1000.0,1000.0,25.0,0.6,151.19612,0.0326,130.643186,151.292698,0.579001,0.161343,0.063876,0.084853
851.0,2.5,1000.0,1000.0,25.0,0.2,233.434047,0.02927,218.567568,233.4894,0.579889,0.161343,0.023712,0.063246
851.0,2.5,1000.0,1000.0,25.0,0.4,246.408312,0.05806,193.630234,246.493542,0.581001,0.161343,0.034589,0.126491
851.0,2.5,1000.0,1000.0,25.0,0.6,266.903828,0.09762,179.366048,265.194923,0.596001,0.161343,0.64027,0.189737
851.0,4.5,1000.0,1000.0,25.0,0.2,336.175978,0.04297,301.788947,336.294418,0.580001,0.161343,0.035232,0.084853
851.0,4.5,1000.0,1000.0,25.0,0.4,315.421851,0.08823,225.5991,314.397067,0.590889,0.161343,0.324893,0.169706
851.0,4.5,1000.0,1000.0,25.0,0.6,330.626477,0.16861,195.23756,324.781992,0.614001,0.161343,1.7677,0.254558
852.0,0.5,1000.0,1000.0,25.0,0.2,82.440796,0.01055,82.115116,82.45286,0.553889,0.160169,0.014634,0.028284
852.0,0.5,1000.0,1000.0,25.0,0.4,123.458401,0.02107,115.480001,123.448864,0.583001,0.160169,0.007725,0.056569
852.0,0.5,1000.0,1000.0,25.0,0.6,150.817141,0.03258,130.062369,150.881896,0.580001,0.160169,0.042936,0.084853
852.0,2.5,1000.0,1000.0,25.0,0.2,233.081546,0.02927,217.971399,233.11327,0.581001,0.160169,0.013611,0.063246
852.0,2.5,1000.0,1000.0,25.0,0.4,245.698002,0.05803,192.63522,245.787271,0.581001,0.160169,0.036333,0.126491
