H,T,S0,K,m,sigma,price_iter,accuracy,price,price_adj,best_beta,H_log,error_percent,Product
,,,,,,,accuracy,,,0.0,,,
85.0,0.2,100.0,100.0,50.0,0.2,4.608699,0.00062,4.609348,4.609511,0.0,0.162519,0.017616,0.012649
85.0,0.2,100.0,100.0,50.0,0.3,6.320766,0.00091,6.307575,6.322282,0.508001,0.162519,0.023985,0.018974
85.0,0.2,100.0,100.0,50.0,0.4,7.922968,0.00123,7.830215,7.921434,0.594889,0.162519,0.019356,0.025298
85.0,0.2,100.0,100.0,50.0,0.5,9.316956,0.00156,9.071516,9.316131,0.584901,0.162519,0.008852,0.031623
85.0,0.6,100.0,100.0,50.0,0.2,9.27635,0.00118,9.230653,9.275679,0.593889,0.162519,0.007236,0.021909
85.0,0.6,100.0,100.0,50.0,0.3,11.514106,0.00175,11.198182,11.51366,0.583889,0.162519,0.003872,0.032863
85.0,0.6,100.0,100.0,50.0,0.4,13.197479,0.00235,12.432995,13.195503,0.584001,0.162519,0.014975,0.043818
85.0,0.6,100.0,100.0,50.0,0.5,14.497707,0.00297,13.204605,14.491997,0.585889,0.162519,0.039383,0.054772
85.0,1.0,100.0,100.0,50.0,0.2,12.912694,0.00162,12.720521,12.909388,0.595001,0.162519,0.025601,0.028284
85.0,1.0,100.0,100.0,50.0,0.3,14.903933,0.0024,14.143131,14.907461,0.579001,0.162519,0.023669,0.042426
85.0,1.0,100.0,100.0,50.0,0.4,16.305798,0.0032,14.813006,16.300694,0.584889,0.162519,0.031302,0.056569
85.0,1.0,100.0,100.0,50.0,0.5,17.384198,0.00405,15.141059,17.385701,0.582001,0.162519,0.008645,0.070711
85.0,1.4,100.0,100.0,50.0,0.2,16.009208,0.00201,15.612939,16.008234,0.584001,0.162519,0.006084,0.033466
85.0,1.4,100.0,100.0,50.0,0.3,17.562821,0.00296,16.320686,17.563646,0.582001,0.162519,0.004698,0.0502
85.0,1.4,100.0,100.0,50.0,0.4,18.634449,0.00394,16.45968,18.637814,0.581889,0.162519,0.018057,0.066933
85.0,1.4,100.0,100.0,50.0,0.5,19.518457,0.005,16.422772,19.528241,0.580889,0.162519,0.050128,0.083666
85.0,1.8,100.0,100.0,50.0,0.2,18.763224,0.00237,18.125002,18.762365,0.583889,0.162519,0.004581,0.037947
85.0,1.8,100.0,100.0,50.0,0.3,19.803628,0.00347,18.081719,19.806733,0.581001,0.162519,0.015677,0.056921
85.0,1.8,100.0,100.0,50.0,0.4,20.565364,0.00462,17.735003,20.566903,0.582001,0.162519,0.007483,0.075895
85.0,1.8,100.0,100.0,50.0,0.5,21.274474,0.0059,17.38513,21.279063,0.581889,0.162519,0.021569,0.094868
85.0,2.2,100.0,100.0,50.0,0.2,21.27195,0.0027,20.368743,21.269706,0.584001,0.162519,0.010547,0.041952
85.0,2.2,100.0,100.0,50.0,0.3,21.776197,0.00394,19.576106,21.778715,0.581889,0.162519,0.011563,0.062929
85.0,2.2,100.0,100.0,50.0,0.4,22.217879,0.00526,18.782143,22.235545,0.579001,0.162519,0.079514,0.083905
85.0,2.2,100.0,100.0,50.0,0.5,22.759836,0.00676,18.155817,22.781878,0.579001,0.162519,0.096845,0.104881
85.0,2.6,100.0,100.0,50.0,0.2,23.586049,0.00301,22.409193,23.587402,0.581889,0.162519,0.005739,0.045607
85.0,2.6,100.0,100.0,50.0,0.3,23.559785,0.00439,20.881908,23.554825,0.583889,0.162519,0.021051,0.068411
85.0,2.6,100.0,100.0,50.0,0.4,23.704674,0.00587,19.67265,23.719483,0.580001,0.162519,0.062472,0.091214
85.0,2.6,100.0,100.0,50.0,0.5,24.084312,0.00761,18.797333,24.10975,0.579001,0.162519,0.105622,0.114018
85.0,3.0,100.0,100.0,50.0,0.2,25.756368,0.0033,24.287525,25.751815,0.584889,0.162519,0.017679,0.04899
85.0,3.0,100.0,100.0,50.0,0.3,25.172696,0.00481,22.045235,25.180078,0.581001,0.162519,0.029326,0.073485
85.0,3.0,100.0,100.0,50.0,0.4,25.044258,0.00647,20.447692,25.063236,0.579891,0.162519,0.075777,0.09798
85.0,3.0,100.0,100.0,50.0,0.5,25.28392,0.00846,19.345142,25.305471,0.580001,0.162519,0.085237,0.122474
85.0,3.4,100.0,100.0,50.0,0.2,27.783099,0.00358,26.031605,27.787648,0.580889,0.162519,0.016372,0.052154
85.0,3.4,100.0,100.0,50.0,0.3,26.678547,0.00522,23.095811,26.683785,0.581889,0.162519,0.019635,0.07823
