T,sigma,S0,beta_1,H_log_1_start,H_log_1_end,H_percent_1,beta_2,H_log_2_start,H_log_2_end,H_percent_2,beta_3,H_log_3_start,H_log_3_end,H_percent_3,beta_4,H_log_4_start,H_log_4_end,H_percent_4
0.2,0.2,200,0.589,0.15665381004537685,0.0888312137066157,8.5,0.611,0.15665381004537685,0.005012541823544286,0.5,0.689,0.15665381004537685,0.13353139262452263,12.5,0.711,0.15665381004537685,0.13353139262452263,12.5
0.2,0.25,200,0.589,0.15082288973458366,0.13353139262452263,12.5,0.611,0.005012541823544286,0.005012541823544286,0.5,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.2,0.3,200,0.589,0.15665381004537685,0.020202707317519466,2.0,0.611,0.01005033585350145,0.01005033585350145,1.0,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.2,0.35,200,0.589,0.16251892949777494,0.16251892949777494,15.0,0.611,0.01005033585350145,0.01005033585350145,1.0,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.2,0.4,200,0.589,0.16251892949777494,0.14502577205025774,13.5,0.611,0.015113637810048184,0.01005033585350145,1.0,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.2,0.45,200,0.589,0.16251892949777494,0.16251892949777494,15.0,0.611,0.015113637810048184,0.01005033585350145,1.0,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.2,0.5,200,0.589,0.16251892949777494,0.03562717764315116,3.5,0.611,0.015113637810048184,0.01005033585350145,1.0,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.2,0.55,200,0.589,0.16251892949777494,0.03562717764315116,3.5,0.611,0.020202707317519466,0.015113637810048184,1.5,0.689,0.01005033585350145,0.005012541823544286,0.5,,,,
0.8,0.2,200,0.589,0.16251892949777494,0.16251892949777494,15.0,0.611,0.15665381004537685,0.01005033585350145,1.0,0.689,0.005012541823544286,0.005012541823544286,0.5,,,,
0.8,0.25,200,0.589,0.16251892949777494,0.03562717764315116,3.5,0.611,0.020202707317519466,0.015113637810048184,1.5,0.689,0.01005033585350145,0.005012541823544286,0.5,,,,
0.8,0.3,200,0.589,0.16251892949777494,0.040821994520255166,4.0,0.611,0.020202707317519466,0.015113637810048184,1.5,0.689,0.01005033585350145,0.005012541823544286,0.5,,,,
0.8,0.35,200,0.589,0.16251892949777494,0.046043938501406846,4.5,0.611,0.025317807984289897,0.015113637810048184,1.5,0.689,0.01005033585350145,0.01005033585350145,1.0,,,,
0.8,0.4,200,0.589,0.16251892949777494,0.05129329438755058,5.0,0.611,0.030459207484708574,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
0.8,0.45,200,0.589,0.16251892949777494,0.05657035148839435,5.5,0.611,0.030459207484708574,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
0.8,0.5,200,0.589,0.16251892949777494,0.06187540371808753,6.0,0.611,0.03562717764315116,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
0.8,0.55,200,0.589,0.16251892949777494,0.07257069283483537,7.0,0.611,0.040821994520255166,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
1.4,0.2,200,0.589,0.16251892949777494,0.03562717764315116,3.5,0.611,0.020202707317519466,0.015113637810048184,1.5,0.689,0.01005033585350145,0.005012541823544286,0.5,,,,
1.4,0.25,200,0.589,0.16251892949777494,0.046043938501406846,4.5,0.611,0.025317807984289897,0.015113637810048184,1.5,0.689,0.01005033585350145,0.01005033585350145,1.0,,,,
1.4,0.3,200,0.589,0.16251892949777494,0.05129329438755058,5.0,0.611,0.030459207484708574,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
1.4,0.35,200,0.589,0.16251892949777494,0.05657035148839435,5.5,0.611,0.03562717764315116,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
1.4,0.4,200,0.589,0.16251892949777494,0.06720874969344999,6.5,0.611,0.040821994520255166,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
1.4,0.45,200,0.589,0.16251892949777494,0.0779615414697118,7.5,0.611,0.046043938501406846,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
1.4,0.5,200,0.589,0.16251892949777494,0.08338160893905101,8.0,0.611,0.05129329438755058,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
1.4,0.55,200,0.589,0.16251892949777494,0.09431067947124129,9.0,0.611,0.05657035148839435,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
2.0,0.2,200,0.589,0.16251892949777494,0.040821994520255166,4.0,0.611,0.025317807984289897,0.015113637810048184,1.5,0.689,0.01005033585350145,0.01005033585350145,1.0,,,,
2.0,0.25,200,0.589,0.16251892949777494,0.05129329438755058,5.0,0.611,0.030459207484708574,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
2.0,0.3,200,0.589,0.16251892949777494,0.06187540371808753,6.0,0.611,0.03562717764315116,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
2.0,0.35,200,0.589,0.16251892949777494,0.07257069283483537,7.0,0.611,0.040821994520255166,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
2.0,0.4,200,0.589,0.16251892949777494,0.08338160893905101,8.0,0.611,0.046043938501406846,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
2.0,0.45,200,0.589,0.16251892949777494,0.0888312137066157,8.5,0.611,0.05657035148839435,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
2.0,0.5,200,0.589,0.16251892949777494,0.09431067947124129,9.0,0.611,0.06187540371808753,0.03562717764315116,3.5,0.689,0.030459207484708574,0.015113637810048184,1.5,,,,
2.0,0.55,200,0.589,0.16251892949777494,0.11653381625595151,11.0,0.611,0.06720874969344999,0.040821994520255166,4.0,0.689,0.03562717764315116,0.015113637810048184,1.5,,,,
2.6,0.2,200,0.589,0.16251892949777494,0.046043938501406846,4.5,0.611,0.025317807984289897,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
2.6,0.25,200,0.589,0.16251892949777494,0.05657035148839435,5.5,0.611,0.03562717764315116,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
2.6,0.3,200,0.589,0.16251892949777494,0.06720874969344999,6.5,0.611,0.040821994520255166,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
2.6,0.35,200,0.589,0.16251892949777494,0.08338160893905101,8.0,0.611,0.05129329438755058,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
2.6,0.4,200,0.589,0.16251892949777494,0.09431067947124129,9.0,0.611,0.05657035148839435,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
2.6,0.45,200,0.589,0.16251892949777494,0.0998203352822109,9.5,0.611,0.06187540371808753,0.03562717764315116,3.5,0.689,0.030459207484708574,0.015113637810048184,1.5,,,,
2.6,0.5,200,0.589,0.16251892949777494,0.11093156070728166,10.5,0.611,0.07257069283483537,0.040821994520255166,4.0,0.689,0.03562717764315116,0.015113637810048184,1.5,0.711,0.005012541823544286,0.005012541823544286,0.5
2.6,0.55,200,0.589,0.16251892949777494,0.12783337150988489,12.0,0.611,0.0779615414697118,0.046043938501406846,4.5,0.689,0.040821994520255166,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
3.2,0.2,200,0.589,0.16251892949777494,0.05129329438755058,5.0,0.611,0.030459207484708574,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
3.2,0.25,200,0.589,0.16251892949777494,0.06187540371808753,6.0,0.611,0.03562717764315116,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
3.2,0.3,200,0.589,0.16251892949777494,0.07257069283483537,7.0,0.611,0.046043938501406846,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
3.2,0.35,200,0.589,0.16251892949777494,0.0888312137066157,8.5,0.611,0.05657035148839435,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
3.2,0.4,200,0.589,0.16251892949777494,0.0998203352822109,9.5,0.611,0.06187540371808753,0.03562717764315116,3.5,0.689,0.030459207484708574,0.015113637810048184,1.5,,,,
3.2,0.45,200,0.589,0.16251892949777494,0.11093156070728166,10.5,0.611,0.07257069283483537,0.040821994520255166,4.0,0.689,0.03562717764315116,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
3.2,0.5,200,0.589,0.16251892949777494,0.12216763397420753,11.5,0.611,0.0779615414697118,0.046043938501406846,4.5,0.689,0.040821994520255166,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
3.2,0.55,200,0.589,0.16251892949777494,0.13353139262452263,12.5,0.611,0.08338160893905101,0.05129329438755058,5.0,0.689,0.046043938501406846,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
3.8,0.2,200,0.589,0.16251892949777494,0.05657035148839435,5.5,0.611,0.03562717764315116,0.020202707317519466,2.0,0.689,0.015113637810048184,0.01005033585350145,1.0,,,,
3.8,0.25,200,0.589,0.16251892949777494,0.06720874969344999,6.5,0.611,0.040821994520255166,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
3.8,0.3,200,0.589,0.16251892949777494,0.08338160893905101,8.0,0.611,0.05129329438755058,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
3.8,0.35,200,0.589,0.16251892949777494,0.0998203352822109,9.5,0.611,0.05657035148839435,0.03562717764315116,3.5,0.689,0.030459207484708574,0.015113637810048184,1.5,,,,
3.8,0.4,200,0.589,0.16251892949777494,0.11093156070728166,10.5,0.611,0.06720874969344999,0.040821994520255166,4.0,0.689,0.03562717764315116,0.015113637810048184,1.5,0.711,0.005012541823544286,0.005012541823544286,0.5
3.8,0.45,200,0.589,0.16251892949777494,0.12216763397420753,11.5,0.611,0.0779615414697118,0.046043938501406846,4.5,0.689,0.040821994520255166,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
3.8,0.5,200,0.589,0.16251892949777494,0.13353139262452263,12.5,0.611,0.08338160893905101,0.046043938501406846,4.5,0.689,0.040821994520255166,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
3.8,0.55,200,0.589,0.16251892949777494,0.15082288973458366,14.0,0.611,0.09431067947124129,0.05129329438755058,5.0,0.689,0.046043938501406846,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
4.4,0.2,200,0.589,0.16251892949777494,0.06187540371808753,6.0,0.611,0.03562717764315116,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
4.4,0.25,200,0.589,0.16251892949777494,0.07257069283483537,7.0,0.611,0.046043938501406846,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
4.4,0.3,200,0.589,0.16251892949777494,0.0888312137066157,8.5,0.611,0.05657035148839435,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
4.4,0.35,200,0.589,0.16251892949777494,0.10536051565782628,10.0,0.611,0.06187540371808753,0.040821994520255166,4.0,0.689,0.03562717764315116,0.015113637810048184,1.5,0.711,0.005012541823544286,0.005012541823544286,0.5
4.4,0.4,200,0.589,0.16251892949777494,0.11653381625595151,11.0,0.611,0.07257069283483537,0.040821994520255166,4.0,0.689,0.03562717764315116,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
4.4,0.45,200,0.589,0.16251892949777494,0.12783337150988489,12.0,0.611,0.08338160893905101,0.046043938501406846,4.5,0.689,0.040821994520255166,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
4.4,0.5,200,0.589,0.16251892949777494,0.15082288973458366,14.0,0.611,0.09431067947124129,0.05129329438755058,5.0,0.689,0.046043938501406846,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
4.4,0.55,200,0.589,0.16251892949777494,0.15665381004537685,14.5,0.611,0.10536051565782628,0.05657035148839435,5.5,0.689,0.05129329438755058,0.025317807984289897,2.5,0.711,0.005012541823544286,0.005012541823544286,0.5
5.0,0.2,200,0.589,0.16251892949777494,0.06720874969344999,6.5,0.611,0.040821994520255166,0.025317807984289897,2.5,0.689,0.020202707317519466,0.01005033585350145,1.0,,,,
5.0,0.25,200,0.589,0.16251892949777494,0.08338160893905101,8.0,0.611,0.046043938501406846,0.030459207484708574,3.0,0.689,0.025317807984289897,0.015113637810048184,1.5,,,,
5.0,0.3,200,0.589,0.16251892949777494,0.0998203352822109,9.5,0.611,0.05657035148839435,0.03562717764315116,3.5,0.689,0.030459207484708574,0.015113637810048184,1.5,0.711,0.005012541823544286,0.005012541823544286,0.5
5.0,0.35,200,0.589,0.16251892949777494,0.11093156070728166,10.5,0.611,0.06720874969344999,0.040821994520255166,4.0,0.689,0.03562717764315116,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
5.0,0.4,200,0.589,0.16251892949777494,0.12216763397420753,11.5,0.611,0.0779615414697118,0.046043938501406846,4.5,0.689,0.040821994520255166,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
5.0,0.45,200,0.589,0.16251892949777494,0.14502577205025774,13.5,0.611,0.0888312137066157,0.05129329438755058,5.0,0.689,0.046043938501406846,0.020202707317519466,2.0,0.711,0.005012541823544286,0.005012541823544286,0.5
5.0,0.5,200,0.589,0.16251892949777494,0.16251892949777494,15.0,0.611,0.0998203352822109,0.05657035148839435,5.5,0.689,0.05129329438755058,0.025317807984289897,2.5,0.711,0.005012541823544286,0.005012541823544286,0.5
5.0,0.55,200,0.589,0.16251892949777494,0.16251892949777494,15.0,0.611,0.11093156070728166,0.06187540371808753,6.0,0.689,0.05657035148839435,0.025317807984289897,2.5,0.711,0.005012541823544286,0.005012541823544286,0.5
