S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,best_beta,H_percent,error_percent,H_log,q,Product
100,100,0.1,50,0.2,90,0.2,250,4.59,4.578778892698944,4.591079276748757,0.511,10.0,0.023513654657016866,0.10536051565782628,0,0.012649110640673518
100,100,0.1,50,0.2,90,0.25,250,5.38,5.331999526777322,5.38289294961297,0.511,10.0,0.05377229763884216,0.10536051565782628,0,0.015811388300841896
100,100,0.1,50,0.2,90,0.3,250,6.1,5.97724199555918,6.098384277370251,0.591,10.0,0.026487256225394627,0.10536051565782628,0,0.018973665961010275
100,100,0.1,50,0.2,90,0.35,250,6.73,6.513372876516296,6.731652726392289,0.5889,10.0,0.024557598696709187,0.10536051565782628,0,0.022135943621178652
100,100,0.1,50,0.2,90,0.4,250,7.3,6.954827015413594,7.290390467342668,0.601,10.0,0.13163743366207914,0.10536051565782628,0,0.025298221281347035
100,100,0.1,50,0.2,90,0.45,250,7.79,7.318985882439511,7.786243304865176,0.5889,10.0,0.048224584529197194,0.10536051565782628,0,0.02846049894151541
100,100,0.1,50,0.2,90,0.5,250,8.24,7.621431923705877,8.230556141934727,0.591,10.0,0.11460992797661586,0.10536051565782628,0,0.03162277660168379
100,100,0.1,50,0.2,90,0.55,250,8.64,7.874841343939856,8.633020057556992,0.5889,10.0,0.08078637086815241,0.10536051565782628,0,0.034785054261852175
100,100,0.1,50,0.2,90,0.6,250,9.01,8.089153275734201,9.001497603046651,0.5889,10.0,0.0943662258973188,0.10536051565782628,0,0.03794733192202055
100,100,0.1,50,0.3,90,0.2,250,5.86,5.809954240669482,5.857662992559667,0.611,10.0,0.039880673043233686,0.10536051565782628,0,0.015491933384829668
100,100,0.1,50,0.3,90,0.25,250,6.7,6.564328281119254,6.7024703881581,0.5889,10.0,0.03687146504626983,0.10536051565782628,0,0.019364916731037084
100,100,0.1,50,0.3,90,0.3,250,7.43,7.158623621842652,7.427499856906884,0.589,10.0,0.03364930138782672,0.10536051565782628,0,0.0232379000772445
100,100,0.1,50,0.3,90,0.35,250,8.05,7.621187686760544,8.048192019338101,0.5889,10.0,0.022459387104342577,0.10536051565782628,0,0.027110883423451918
100,100,0.1,50,0.3,90,0.4,250,8.59,7.983399776039391,8.586123280012167,0.5889,10.0,0.045130616854864955,0.10536051565782628,0,0.030983866769659335
100,100,0.1,50,0.3,90,0.45,250,9.07,8.270660427420523,9.06027028560129,0.5909,10.0,0.10727358763738648,0.10536051565782628,0,0.034856850115866755
100,100,0.1,50,0.3,90,0.5,250,9.49,8.501815298717915,9.485424307847637,0.5889,10.0,0.0482159341661009,0.10536051565782628,0,0.03872983346207417
100,100,0.1,50,0.3,90,0.55,250,9.89,8.690513562334633,9.872678297916547,0.591,10.0,0.17514360043936822,0.10536051565782628,0,0.04260281680828159
100,100,0.1,50,0.3,90,0.6,250,10.24,8.84663389502155,10.230279313217412,0.5889,10.0,0.09492858186120959,0.10536051565782628,0,0.046475800154489
