S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent
110,100,0.1,50,0.2,115,0.2,250,1.8224627752638165,1.4247,1.8383,-4.5455
110,100,0.1,50,0.2,115,0.3,250,0.8075633612986083,0.545,0.8188,-4.5455
110,100,0.1,50,0.2,115,0.4,250,0.430629376247005,0.2538,0.4405,-4.5455
110,100,0.1,50,0.2,115,0.5,250,0.26315670826322607,0.1361,0.2708,-4.5455
110,100,0.1,50,0.2,115,0.6,250,0.1754642286914394,0.0807,0.1829,-4.5455
110,100,0.1,50,0.6,115,0.2,250,0.52889161176916,0.3314,0.5395,-4.5455
110,100,0.1,50,0.6,115,0.3,250,0.22748631228300467,0.1141,0.2348,-4.5455
110,100,0.1,50,0.6,115,0.4,250,0.12313425508215539,0.0507,0.1296,-4.5455
110,100,0.1,50,0.6,115,0.5,250,0.07781941264362924,0.0265,0.0829,-4.5455
110,100,0.1,50,0.6,115,0.6,250,0.05350611965202573,0.0154,0.0585,-4.5455
110,100,0.1,50,1.0,115,0.2,250,0.27753111414834547,0.1519,0.2866,-4.5455
110,100,0.1,50,1.0,115,0.3,250,0.12395341261424085,0.052,0.1303,-4.5455
110,100,0.1,50,1.0,115,0.4,250,0.06962654516756017,0.023,0.0747,-4.5455
110,100,0.1,50,1.0,115,0.5,250,0.04503592096904969,0.0119,0.0494,-4.5455
110,100,0.1,50,1.0,115,0.6,250,0.03168780983189365,0.0069,0.0359,-4.5455
110,100,0.1,50,1.4,115,0.2,250,0.17733180358798137,0.0875,0.1852,-4.5455
110,100,0.1,50,1.4,115,0.3,250,0.08276723536010114,0.0303,0.0883,-4.5455
110,100,0.1,50,1.4,115,0.4,250,0.047654267407282645,0.0134,0.0523,-4.5455
110,100,0.1,50,1.4,115,0.5,250,0.031107397390526953,0.0069,0.0355,-4.5455
110,100,0.1,50,1.4,115,0.6,250,0.02255775751755812,0.004,0.0263,-4.5455
110,100,0.1,50,1.8,115,0.2,250,0.1258020453487285,0.0567,0.1319,-4.5455
110,100,0.1,50,1.8,115,0.3,250,0.06132790773316141,0.02,0.066,-4.5455
110,100,0.1,50,1.8,115,0.4,250,0.03630658874808657,0.0089,0.0402,-4.5455
110,100,0.1,50,1.8,115,0.5,250,0.02427288156735031,0.0046,0.0279,-4.5455
110,100,0.1,50,1.8,115,0.6,250,0.01743707010014943,0.0026,0.021,-4.5455
110,100,0.1,50,2.2,115,0.2,250,0.09434328193783531,0.0394,0.0995,-4.5455
110,100,0.1,50,2.2,115,0.3,250,0.04738284001144235,0.0142,0.0521,-4.5455
110,100,0.1,50,2.2,115,0.4,250,0.028796522899917094,0.0063,0.0326,-4.5455
110,100,0.1,50,2.2,115,0.5,250,0.019668214781642795,0.0033,0.023,-4.5455
110,100,0.1,50,2.2,115,0.6,250,0.013980218416225607,0.0019,0.0175,-4.5455
110,100,0.1,50,2.6,115,0.2,250,0.07313598421007758,0.0287,0.0781,-4.5455
110,100,0.1,50,2.6,115,0.3,250,0.03871735174405109,0.0106,0.0427,-4.5455
110,100,0.1,50,2.6,115,0.4,250,0.02402906009098215,0.0047,0.0274,-4.5455
110,100,0.1,50,2.6,115,0.5,250,0.01640801444188402,0.0024,0.0196,-4.5455
110,100,0.1,50,2.6,115,0.6,250,0.012022182952420475,0.0014,0.0151,-4.5455
110,100,0.1,50,3.0,115,0.2,250,0.05861822053195785,0.0217,0.063,-4.5455
110,100,0.1,50,3.0,115,0.3,250,0.03241871933462151,0.0082,0.0359,-4.5455
110,100,0.1,50,3.0,115,0.4,250,0.019927140135704215,0.0037,0.0235,-4.5455
110,100,0.1,50,3.0,115,0.5,250,0.014010619914629357,0.0019,0.017,-4.5455
110,100,0.1,50,3.0,115,0.6,250,0.010215672725615448,0.0011,0.0132,-4.5455
110,100,0.1,50,3.4,115,0.2,250,0.048037382714139966,0.0168,0.0518,-4.5455
110,100,0.1,50,3.4,115,0.3,250,0.027240984823507567,0.0065,0.0308,-4.5455
110,100,0.1,50,3.4,115,0.4,250,0.017778267275800817,0.0029,0.0206,-4.5455
110,100,0.1,50,3.4,115,0.5,250,0.012085034990694554,0.0015,0.0151,-4.5455
110,100,0.1,50,3.4,115,0.6,250,0.009006220290249802,0.0009,0.0118,-4.5455
110,100,0.1,50,3.8,115,0.2,250,0.03979928336512048,0.0132,0.0433,-4.5455
110,100,0.1,50,3.8,115,0.3,250,0.02344098699082498,0.0052,0.0268,-4.5455
110,100,0.1,50,3.8,115,0.4,250,0.015308176334707156,0.0024,0.0182,-4.5455
110,100,0.1,50,3.8,115,0.5,250,0.010718675085611013,0.0012,0.0135,-4.5455
110,100,0.1,50,3.8,115,0.6,250,0.0077338260982004565,0.0007,0.0106,-4.5455
110,100,0.1,50,4.2,115,0.2,250,0.03340847138631686,0.0106,0.0367,-4.5455
110,100,0.1,50,4.2,115,0.3,250,0.02055714073620202,0.0043,0.0236,-4.5455
110,100,0.1,50,4.2,115,0.4,250,0.013334843140153914,0.002,0.0163,-4.5455
