S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,best_beta,error_percent,q
110,100,0.1,50,0.2,115,0.2,250,1.8225,1.4247,1.8383,-4.5455,0.561,0.869,0
110,100,0.1,50,0.2,115,0.3,250,0.8076,0.545,0.8188,-4.5455,0.561,1.3914,0
110,100,0.1,50,0.2,115,0.4,250,0.4306,0.2538,0.4405,-4.5455,0.5589,2.2921,0
110,100,0.1,50,0.2,115,0.5,250,0.2632,0.1361,0.2708,-4.5455,0.5589,2.9045,0
110,100,0.1,50,0.2,115,0.6,250,0.1755,0.0807,0.1829,-4.5455,0.549,4.2378,0
110,100,0.1,50,0.6,115,0.2,250,0.5289,0.3314,0.5395,-4.5455,0.5589,2.0058,0
110,100,0.1,50,0.6,115,0.3,250,0.2275,0.1141,0.2348,-4.5455,0.551,3.215,0
110,100,0.1,50,0.6,115,0.4,250,0.1231,0.0507,0.1296,-4.5455,0.5489,5.251,0
110,100,0.1,50,0.6,115,0.5,250,0.0778,0.0265,0.0829,-4.5455,0.541,6.5287,0
110,100,0.1,50,0.6,115,0.6,250,0.0535,0.0154,0.0585,-4.5455,0.5389,9.3333,0
110,100,0.1,50,1.0,115,0.2,250,0.2775,0.1519,0.2866,-4.5455,0.5499,3.2677,0
110,100,0.1,50,1.0,115,0.3,250,0.124,0.052,0.1303,-4.5455,0.5489,5.1201,0
110,100,0.1,50,1.0,115,0.4,250,0.0696,0.023,0.0747,-4.5455,0.541,7.2867,0
110,100,0.1,50,1.0,115,0.5,250,0.045,0.0119,0.0494,-4.5455,0.5389,9.6902,0
110,100,0.1,50,1.0,115,0.6,250,0.0317,0.0069,0.0359,-4.5455,0.5289,13.2928,0
110,100,0.1,50,1.4,115,0.2,250,0.1773,0.0875,0.1852,-4.5455,0.541,4.437,0
110,100,0.1,50,1.4,115,0.3,250,0.0828,0.0303,0.0883,-4.5455,0.541,6.6847,0
110,100,0.1,50,1.4,115,0.4,250,0.0477,0.0134,0.0523,-4.5455,0.531,9.7488,0
110,100,0.1,50,1.4,115,0.5,250,0.0311,0.0069,0.0355,-4.5455,0.521,14.1208,0
110,100,0.1,50,1.4,115,0.6,250,0.0226,0.004,0.0263,-4.5455,0.521,16.5896,0
110,100,0.1,50,1.8,115,0.2,250,0.1258,0.0567,0.1319,-4.5455,0.5489,4.8473,0
110,100,0.1,50,1.8,115,0.3,250,0.0613,0.02,0.066,-4.5455,0.5409,7.6182,0
110,100,0.1,50,1.8,115,0.4,250,0.0363,0.0089,0.0402,-4.5455,0.531,10.7237,0
110,100,0.1,50,1.8,115,0.5,250,0.0243,0.0046,0.0279,-4.5455,0.5289,14.9431,0
110,100,0.1,50,1.8,115,0.6,250,0.0174,0.0026,0.021,-4.5455,0.5189,20.4331,0
110,100,0.1,50,2.2,115,0.2,250,0.0943,0.0394,0.0995,-4.5455,0.541,5.4659,0
110,100,0.1,50,2.2,115,0.3,250,0.0474,0.0142,0.0521,-4.5455,0.531,9.9554,0
110,100,0.1,50,2.2,115,0.4,250,0.0288,0.0063,0.0326,-4.5455,0.5289,13.2081,0
110,100,0.1,50,2.2,115,0.5,250,0.0197,0.0033,0.023,-4.5455,0.521,16.9399,0
110,100,0.1,50,2.2,115,0.6,250,0.014,0.0019,0.0175,-4.5455,0.5089,25.1769,0
110,100,0.1,50,2.6,115,0.2,250,0.0731,0.0287,0.0781,-4.5455,0.5389,6.7874,0
110,100,0.1,50,2.6,115,0.3,250,0.0387,0.0106,0.0427,-4.5455,0.531,10.2865,0
110,100,0.1,50,2.6,115,0.4,250,0.024,0.0047,0.0274,-4.5455,0.5289,14.0286,0
110,100,0.1,50,2.6,115,0.5,250,0.0164,0.0024,0.0196,-4.5455,0.5189,19.4538,0
110,100,0.1,50,2.6,115,0.6,250,0.012,0.0014,0.0151,-4.5455,0.5089,25.6011,0
110,100,0.1,50,3.0,115,0.2,250,0.0586,0.0217,0.063,-4.5455,0.5389,7.4751,0
