S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,best_beta
50,50,0.1,50,0.2,42,0.3,250,3.1657954296262862,3.161539914643063,3.165926507754202,0.5889
50,50,0.1,50,0.2,43,0.3,250,3.1540728756115,3.1413240778663307,3.153246009062264,0.611
50,50,0.1,50,0.2,44,0.3,250,3.1199287450856152,3.0926416611241865,3.1211423897636856,0.5889
50,50,0.1,50,0.2,45,0.3,250,3.0481530216382073,2.98862099777959,3.0491921386851253,0.5889
50,50,0.1,50,0.2,46,0.3,250,2.9043262908237653,2.7893860593249027,2.9050045452970945,0.5889
50,50,0.1,50,0.2,47,0.3,250,2.644532240025552,2.443896447590534,2.6441058075432142,0.5889
50,50,0.1,50,0.2,48,0.3,250,2.2139466761630433,1.8961327120439453,2.2137606241953964,0.5889
50,50,0.1,50,0.2,49,0.3,250,1.5627533368225464,1.0943036713426828,1.5605156941163187,0.5889
50,50,0.1,50,0.2,50,0.3,250,0.7757914007061553,0.0,0.6393215680940401,0.711
100,100,0.1,50,0.2,85,0.3,250,6.321559708872464,6.30757493247192,6.322282016306619,0.511
100,100,0.1,50,0.2,86,0.3,250,6.302234841077668,6.282648155732661,6.306492018124528,0.4889
100,100,0.1,50,0.2,87,0.3,250,6.283077686827475,6.24384609175623,6.281283218772641,0.611
100,100,0.1,50,0.2,88,0.3,250,6.246590097996063,6.185283322248373,6.242284779527371,0.611
100,100,0.1,50,0.2,89,0.3,250,6.187035488432401,6.099472600796771,6.183747257667116,0.61
100,100,0.1,50,0.2,90,0.3,250,6.096764475171118,5.97724199555918,6.098384277370251,0.5889
100,100,0.1,50,0.2,91,0.3,250,5.97352157478868,5.8077715341027805,5.977296672210819,0.5889
100,100,0.1,50,0.2,92,0.3,250,5.810999553059978,5.578772118649805,5.810009090594189,0.5889
100,100,0.1,50,0.2,93,0.3,250,5.5859217435694335,5.276813988490655,5.584639978901279,0.5889
100,100,0.1,50,0.2,94,0.3,250,5.287978624050952,4.887792895181068,5.2882116150864285,0.5889
100,100,0.1,50,0.2,95,0.3,250,4.90662767241336,4.397502559962934,4.907089351184339,0.5889
100,100,0.1,50,0.2,96,0.3,250,4.427268601874538,3.7922654240878906,4.427521248390793,0.5889
100,100,0.1,50,0.2,97,0.3,250,3.837294687255074,3.059563304594512,3.8362340134775437,0.5889
100,100,0.1,50,0.2,98,0.3,250,3.1257255597179707,2.1886073426853656,3.1210313882326375,0.5889
100,100,0.1,50,0.2,99,0.3,250,2.335766037308245,1.17079303490042,2.2713387510478285,0.611
100,100,0.1,50,0.2,100,0.3,250,1.550528602395459,0.0,1.2786431361880801,0.711
200,200,0.1,50,0.2,170,0.3,250,12.651493333373018,12.61514986494384,12.644564032613237,0.7889
200,200,0.1,50,0.2,171,0.3,250,12.633274682233848,12.593072960862433,12.63067911795274,0.611
200,200,0.1,50,0.2,172,0.3,250,12.6128820864474,12.565296311465323,12.612984036249056,0.5889
200,200,0.1,50,0.2,173,0.3,250,12.589215415741096,12.530626966628027,12.59061621558455,0.5889
200,200,0.1,50,0.2,174,0.3,250,12.561072194068915,12.48769218351246,12.562566437545282,0.5889
200,200,0.1,50,0.2,175,0.3,250,12.534038524314141,12.434927446409603,12.527665111852654,0.611
200,200,0.1,50,0.2,176,0.3,250,12.488959070948647,12.370566644496746,12.484569559054743,0.61
