S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q
300,300,0.1,50,4,255.0,0.3,250,86.2515,86.263,86.263,15.0,0.1625,0.5889,0.0133,0
300,300,0.1,50,4,255.0,0.4,250,83.8945,83.9292,83.9292,15.0,0.1625,0.5889,0.0414,0
300,300,0.1,50,4,255.0,0.5,250,83.8056,83.6311,83.6311,15.0,0.1625,0.5889,0.2082,0
300,300,0.1,50,5,255.0,0.3,250,95.3729,95.4518,95.4518,15.0,0.1625,0.5889,0.0827,0
300,300,0.1,50,5,255.0,0.4,250,91.1443,91.2992,91.2992,15.0,0.1625,0.5889,0.17,0
300,300,0.1,50,5,255.0,0.5,250,90.2828,90.0765,90.0765,15.0,0.1625,0.5889,0.2285,0
300,300,0.1,50,4,256.0,0.3,250,85.4102,85.3741,85.3741,14.6667,0.1586,0.5889,0.0423,0
300,300,0.1,50,4,256.0,0.4,250,82.8257,82.9878,82.9878,14.6667,0.1586,0.5889,0.1957,0
300,300,0.1,50,4,256.0,0.5,250,82.6604,82.6834,82.6834,14.6667,0.1586,0.5889,0.0278,0
300,300,0.1,50,5,256.0,0.3,250,94.4096,94.4616,94.4616,14.6667,0.1586,0.5889,0.0551,0
300,300,0.1,50,5,256.0,0.4,250,90.3316,90.2877,90.2877,14.6667,0.1586,0.5889,0.0486,0
300,300,0.1,50,5,256.0,0.5,250,89.3174,89.081,89.081,14.6667,0.1586,0.5889,0.2647,0
300,300,0.1,50,4,257.0,0.3,250,84.3746,84.4693,84.4693,14.3333,0.1547,0.5889,0.1122,0
300,300,0.1,50,4,257.0,0.4,250,82.0335,82.036,82.036,14.3333,0.1547,0.5889,0.003,0
300,300,0.1,50,4,257.0,0.5,250,81.8872,81.7287,81.7287,14.3333,0.1547,0.5889,0.1936,0
300,300,0.1,50,5,257.0,0.3,250,93.2877,93.4557,93.4557,14.3333,0.1547,0.5889,0.1801,0
300,300,0.1,50,5,257.0,0.4,250,89.0899,89.2664,89.2664,14.3333,0.1547,0.5889,0.1981,0
300,300,0.1,50,5,257.0,0.5,250,88.1846,88.0791,88.0791,14.3333,0.1547,0.5889,0.1196,0
300,300,0.1,50,4,258.0,0.3,250,83.4913,83.5484,83.5484,14.0,0.1508,0.5889,0.0684,0
300,300,0.1,50,4,258.0,0.4,250,81.0263,81.0739,81.0739,14.0,0.1508,0.5889,0.0587,0
300,300,0.1,50,4,258.0,0.5,250,80.9191,80.7671,80.7671,14.0,0.1508,0.5889,0.1878,0
300,300,0.1,50,5,258.0,0.3,250,92.4218,92.4339,92.4339,14.0,0.1508,0.5889,0.0131,0
300,300,0.1,50,5,258.0,0.4,250,88.3949,88.2353,88.2353,14.0,0.1508,0.5889,0.1806,0
300,300,0.1,50,5,258.0,0.5,250,87.3649,87.0709,87.0709,14.0,0.1508,0.5899,0.3365,0
300,300,0.1,50,4,259.0,0.3,250,82.5981,82.6113,82.6113,13.6667,0.147,0.5889,0.016,0
300,300,0.1,50,4,259.0,0.4,250,80.0973,80.1015,80.1015,13.6667,0.147,0.5889,0.0052,0
300,300,0.1,50,4,259.0,0.5,250,79.854,79.7986,79.7986,13.6667,0.147,0.5889,0.0694,0
300,300,0.1,50,5,259.0,0.3,250,91.2806,91.3961,91.3961,13.6667,0.147,0.5889,0.1265,0
300,300,0.1,50,5,259.0,0.4,250,87.2392,87.1946,87.1946,13.6667,0.147,0.5889,0.0511,0
300,300,0.1,50,5,259.0,0.5,250,86.2223,86.0564,86.0564,13.6667,0.147,0.5889,0.1924,0
300,300,0.1,50,4,260.0,0.3,250,81.5883,81.6578,81.6578,13.3333,0.1431,0.5889,0.0852,0
300,300,0.1,50,4,260.0,0.4,250,79.0959,79.1188,79.1188,13.3333,0.1431,0.5889,0.029,0
300,300,0.1,50,4,260.0,0.5,250,78.9556,78.8231,78.8231,13.3333,0.1431,0.5889,0.1678,0
300,300,0.1,50,5,260.0,0.3,250,90.2703,90.3422,90.3422,13.3333,0.1431,0.5889,0.0796,0
300,300,0.1,50,5,260.0,0.4,250,86.1829,86.1441,86.1441,13.3333,0.1431,0.5889,0.045,0
300,300,0.1,50,5,260.0,0.5,250,85.3872,85.0356,85.0356,13.3333,0.1431,0.591,0.4118,0
300,300,0.1,50,4,261.0,0.3,250,80.5671,80.6879,80.6879,13.0,0.1393,0.5889,0.1499,0
300,300,0.1,50,4,261.0,0.4,250,78.1712,78.1256,78.1256,13.0,0.1393,0.5889,0.0583,0
