T,sigma,H,Best Beta,Average Error
0.2,0.2,90,0.5190999999999869,9.759428104682916e-06
0.2,0.2,91,0.5466999999999839,2.6153564059459803e-05
0.2,0.2,92,0.573399999999992,1.8520798414656724e-05
0.2,0.2,93,0.5770999999999916,8.209046238864556e-05
0.2,0.2,94,0.59159999999999,0.00015780598682458452
0.2,0.2,95,0.5962999999999895,0.00023518089652971942
0.2,0.2,96,0.5864999999999906,0.00043417313739861906
0.2,0.2,97,0.59179999999999,0.00016260618416394446
0.2,0.2,98,0.5896999999999902,0.0004497192490272418
0.2,0.2,99,0.6045999999999886,0.0021787131292636897
0.2,0.25,90,0.5700999999999924,7.096393649016566e-06
0.2,0.25,91,0.5714999999999922,8.898674913815265e-05
0.2,0.25,92,0.5843999999999908,7.02499449490684e-05
0.2,0.25,93,0.59229999999999,0.00010269674155813846
0.2,0.25,94,0.5928999999999899,0.0001253603102973144
0.2,0.25,95,0.5884999999999904,2.014376130386496e-05
0.2,0.25,96,0.5892999999999903,0.00030930719916518395
0.2,0.25,97,0.5909999999999901,0.0010650271655506427
0.2,0.25,98,0.5882999999999904,0.0015376668266365808
0.2,0.25,99,0.6160999999999873,0.002953576742960765
0.2,0.3,90,0.5803999999999913,3.77313370373166e-05
0.2,0.3,91,0.5894999999999903,0.00018746403504060535
0.2,0.3,92,0.5973999999999894,0.0001252596071005085
0.2,0.3,93,0.5899999999999902,0.0002013496423914329
0.2,0.3,94,0.5888999999999903,0.0002506420752310127
0.2,0.3,95,0.5902999999999902,0.00042259592388773054
0.2,0.3,96,0.5892999999999903,0.0004659310978235721
0.2,0.3,97,0.5907999999999901,0.0012685133091855732
0.2,0.3,98,0.5908999999999901,0.0020850344339182533
0.2,0.3,99,0.628399999999986,0.0033783858061713877
0.2,0.35,90,0.5899999999999902,7.669822035840138e-06
0.2,0.35,91,0.59229999999999,0.00025125704022060604
0.2,0.35,92,0.5880999999999904,0.0003385334966077827
0.2,0.35,93,0.5892999999999903,0.0005067444897737628
0.2,0.35,94,0.5890999999999903,7.397804961406705e-05
0.2,0.35,95,0.5898999999999902,0.0005967136857681918
0.2,0.35,96,0.5896999999999902,0.00023500034443740977
0.2,0.35,97,0.5893999999999903,0.0005318766505770558
0.2,0.35,98,0.5985999999999893,0.0016183136415934027
0.2,0.35,99,0.637499999999985,0.003539311356895612
0.2,0.4,90,0.59189999999999,0.0002581590596827874
0.2,0.4,91,0.5854999999999907,0.0003726493625135837
0.2,0.4,92,0.5899999999999902,0.0004149733073437548
0.2,0.4,93,0.5892999999999903,7.101770828787178e-05
0.2,0.4,94,0.5904999999999901,0.00026562912619404103
0.2,0.4,95,0.5909999999999901,0.0009916885722658425
0.2,0.4,96,0.5907999999999901,0.001272752066399036
0.2,0.4,97,0.5880999999999904,0.0015525596680207828
0.2,0.4,98,0.6046999999999886,0.0005249672234095319
0.2,0.4,99,0.646499999999984,0.0039153647683998856
0.2,0.45,90,0.5865999999999906,0.00029206856811246016
0.2,0.45,91,0.5894999999999903,0.0004760270135230017
0.2,0.45,92,0.5888999999999903,0.0005085959278712251
0.2,0.45,93,0.5910999999999901,8.807540791964351e-05
