S0,K,r,m,T,H,sigma,trading_days,price_mc
100,100,0.1,50,0.2,90,0.2,250,4.59
100,100,0.1,50,0.2,90,0.25,250,5.382
100,100,0.1,50,0.2,90,0.3,250,6.098
100,100,0.1,50,0.2,90,0.35,250,6.734
100,100,0.1,50,0.2,90,0.39999999999999997,250,7.295
100,100,0.1,50,0.2,90,0.44999999999999996,250,7.789
100,100,0.1,50,0.2,90,0.49999999999999994,250,8.237
100,100,0.1,50,0.2,90,0.5499999999999999,250,8.639
100,100,0.1,50,0.2,90,0.5999999999999999,250,9.009
100,100,0.1,50,0.3,90,0.2,250,5.856
100,100,0.1,50,0.3,90,0.25,250,6.702
100,100,0.1,50,0.3,90,0.3,250,7.432
100,100,0.1,50,0.3,90,0.35,250,8.053
100,100,0.1,50,0.3,90,0.39999999999999997,250,8.591
100,100,0.1,50,0.3,90,0.44999999999999996,250,9.068
100,100,0.1,50,0.3,90,0.49999999999999994,250,9.494
100,100,0.1,50,0.3,90,0.5499999999999999,250,9.89
100,100,0.1,50,0.3,90,0.5999999999999999,250,10.245
100,100,0.1,50,0.4,90,0.2,250,6.951
100,100,0.1,50,0.4,90,0.25,250,7.796
100,100,0.1,50,0.4,90,0.3,250,8.498
100,100,0.1,50,0.4,90,0.35,250,9.084
100,100,0.1,50,0.4,90,0.39999999999999997,250,9.598
100,100,0.1,50,0.4,90,0.44999999999999996,250,10.052
100,100,0.1,50,0.4,90,0.49999999999999994,250,10.461
100,100,0.1,50,0.4,90,0.5499999999999999,250,10.839
100,100,0.1,50,0.4,90,0.5999999999999999,250,11.189
100,100,0.1,50,0.5,90,0.2,250,7.929
100,100,0.1,50,0.5,90,0.25,250,8.742
100,100,0.1,50,0.5,90,0.3,250,9.399
100,100,0.1,50,0.5,90,0.35,250,9.958
100,100,0.1,50,0.5,90,0.39999999999999997,250,10.439
100,100,0.1,50,0.5,90,0.44999999999999996,250,10.87
100,100,0.1,50,0.5,90,0.49999999999999994,250,11.264
100,100,0.1,50,0.5,90,0.5499999999999999,250,11.629
100,100,0.1,50,0.5,90,0.5999999999999999,250,11.977
100,100,0.1,50,0.6,90,0.2,250,8.822
100,100,0.1,50,0.6,90,0.25,250,9.586
100,100,0.1,50,0.6,90,0.3,250,10.193
100,100,0.1,50,0.6,90,0.35,250,10.714
100,100,0.1,50,0.6,90,0.39999999999999997,250,11.168
100,100,0.1,50,0.6,90,0.44999999999999996,250,11.58
100,100,0.1,50,0.6,90,0.49999999999999994,250,11.96
100,100,0.1,50,0.6,90,0.5499999999999999,250,12.319
100,100,0.1,50,0.6,90,0.5999999999999999,250,12.659
100,100,0.1,50,0.7,90,0.2,250,9.649
100,100,0.1,50,0.7,90,0.25,250,10.35
100,100,0.1,50,0.7,90,0.3,250,10.917
100,100,0.1,50,0.7,90,0.35,250,11.398
100,100,0.1,50,0.7,90,0.39999999999999997,250,11.823
100,100,0.1,50,0.7,90,0.44999999999999996,250,12.212
100,100,0.1,50,0.7,90,0.49999999999999994,250,12.576
100,100,0.1,50,0.7,90,0.5499999999999999,250,12.932
100,100,0.1,50,0.7,90,0.5999999999999999,250,13.27
100,100,0.1,50,0.8,90,0.2,250,10.425
100,100,0.1,50,0.8,90,0.25,250,11.06
100,100,0.1,50,0.8,90,0.3,250,11.577
100,100,0.1,50,0.8,90,0.35,250,12.02
100,100,0.1,50,0.8,90,0.39999999999999997,250,12.418
100,100,0.1,50,0.8,90,0.44999999999999996,250,12.789
100,100,0.1,50,0.8,90,0.49999999999999994,250,13.15
100,100,0.1,50,0.8,90,0.5499999999999999,250,13.487
100,100,0.1,50,0.8,90,0.5999999999999999,250,13.818
100,100,0.1,50,0.9,90,0.2,250,11.153
100,100,0.1,50,0.9,90,0.25,250,11.717
100,100,0.1,50,0.9,90,0.3,250,12.19
100,100,0.1,50,0.9,90,0.35,250,12.598
100,100,0.1,50,0.9,90,0.39999999999999997,250,12.97
100,100,0.1,50,0.9,90,0.44999999999999996,250,13.321
100,100,0.1,50,0.9,90,0.49999999999999994,250,13.666
100,100,0.1,50,0.9,90,0.5499999999999999,250,14.001
100,100,0.1,50,0.9,90,0.5999999999999999,250,14.322
100,100,0.1,50,1.0,90,0.2,250,11.848
100,100,0.1,50,1.0,90,0.25,250,12.342
100,100,0.1,50,1.0,90,0.3,250,12.765
100,100,0.1,50,1.0,90,0.35,250,13.132
100,100,0.1,50,1.0,90,0.39999999999999997,250,13.483
100,100,0.1,50,1.0,90,0.44999999999999996,250,13.823
100,100,0.1,50,1.0,90,0.49999999999999994,250,14.153
100,100,0.1,50,1.0,90,0.5499999999999999,250,14.475
