S0,K,r,m,T,H,sigma,trading_days,exact_price,best_beta
100,100,0.1,5,4.9,85,0.35,250,40.6835,0.6889
100,100,0.1,5,4.5,85,0.6,250,46.5442,0.7089
100,100,0.1,5,1.6,85,0.4,250,23.5695,0.611
100,100,0.1,5,2.9,85,0.5,250,34.8531,0.6889
100,100,0.1,5,4.0,85,0.55,250,42.4409,0.689
100,100,0.1,5,3.4,85,0.2,250,30.0912,0.589
100,100,0.1,5,2.8,85,0.3,250,28.7067,0.611
100,100,0.1,25,4.1,85,0.4,250,30.3625,0.5889
100,100,0.1,25,2.6,85,0.3,250,24.4597,0.5889
100,100,0.1,25,1.2,85,0.2,250,14.6168,0.611
100,100,0.1,25,3.2,85,0.55,250,28.722,0.599
100,100,0.1,25,2.9,85,0.6,250,28.0592,0.5889
100,100,0.1,25,3.4,85,0.5,250,28.9653,0.601
100,100,0.1,25,1.8,85,0.25,250,19.7481,0.5889
100,100,0.1,50,1.6,85,0.25,250,18.113,0.5889
100,100,0.1,50,1.8,85,0.55,250,21.5543,0.5889
100,100,0.1,50,3.6,85,0.4,250,26.8618,0.5889
100,100,0.1,50,4.9,85,0.3,250,31.4575,0.5889
100,100,0.1,50,2.2,85,0.5,250,22.5803,0.5889
100,100,0.1,50,3.8,85,0.2,250,29.6686,0.5889
100,100,0.1,50,2.3,85,0.6,250,23.6296,0.5889
100,100,0.1,5,4.4,86,0.4,250,39.502,0.6889
100,100,0.1,5,0.4,86,0.35,250,10.4413,0.5889
100,100,0.1,5,3.3,86,0.3,250,31.3081,0.611
100,100,0.1,5,3.5,86,0.5,250,38.2108,0.6989
100,100,0.1,5,3.2,86,0.55,250,37.7914,0.6889
100,100,0.1,5,1.4,86,0.25,250,17.7449,0.5889
100,100,0.1,5,2.1,86,0.45,250,28.2128,0.6889
100,100,0.1,25,1.8,86,0.55,250,22.467,0.5889
100,100,0.1,25,2.7,86,0.6,250,26.5673,0.5889
100,100,0.1,25,1.4,86,0.35,250,18.251,0.5889
100,100,0.1,25,4.0,86,0.45,250,29.4869,0.591
100,100,0.1,25,2.1,86,0.5,250,23.389,0.5989
100,100,0.1,25,1.0,86,0.3,250,14.8559,0.5889
100,100,0.1,25,3.7,86,0.2,250,29.2753,0.5889
100,100,0.1,50,4.1,86,0.4,250,27.319,0.5889
100,100,0.1,50,1.0,86,0.45,250,16.3453,0.5889
100,100,0.1,50,4.0,86,0.35,250,27.3078,0.5889
100,100,0.1,50,4.4,86,0.25,250,30.0974,0.5889
100,100,0.1,50,4.9,86,0.5,250,28.7509,0.5889
100,100,0.1,50,2.6,86,0.6,250,23.9857,0.601
100,100,0.1,50,4.2,86,0.55,250,27.659,0.5989
100,100,0.1,5,0.2,87,0.4,250,7.9515,0.5889
100,100,0.1,5,3.2,87,0.35,250,31.5907,0.6889
100,100,0.1,5,1.6,87,0.45,250,24.1761,0.611
100,100,0.1,5,4.6,87,0.5,250,42.7742,0.691
100,100,0.1,5,0.8,87,0.6,250,20.3938,0.611
100,100,0.1,5,2.8,87,0.25,250,26.9057,0.611
100,100,0.1,5,1.9,87,0.3,250,22.3915,0.6089
