S0,K,r,m,T,H,sigma,trading_days,price_mc,price,price_adj
100,100,0.0,50,0.2,90,0.2,250,2.697,3.539,3.55
100,100,0.0,50,0.2,90,0.25,250,3.31,4.33,4.375
100,100,0.0,50,0.2,90,0.3,250,3.904,5.015,5.124
100,100,0.0,50,0.2,90,0.35,250,4.531,5.594,5.792
100,100,0.0,50,0.2,90,0.4,250,4.919,6.08,6.386
100,100,0.0,50,0.2,90,0.45,250,5.33,6.488,6.917
100,100,0.0,50,0.2,90,0.5,250,5.245,6.834,7.395
100,100,0.0,50,0.2,90,0.55,250,5.569,7.128,7.831
100,100,0.0,50,0.2,90,0.6,250,5.953,7.38,8.23
100,100,0.0,50,0.3,90,0.2,250,3.244,4.254,4.295
100,100,0.0,50,0.3,90,0.25,250,3.984,5.092,5.211
100,100,0.0,50,0.3,90,0.3,250,4.685,5.773,6.007
100,100,0.0,50,0.3,90,0.35,250,5.158,6.323,6.697
100,100,0.0,50,0.3,90,0.4,250,5.492,6.768,7.303
100,100,0.0,50,0.3,90,0.45,250,5.58,7.134,7.84
100,100,0.0,50,0.3,90,0.5,250,6.071,7.437,8.324
100,100,0.0,50,0.3,90,0.55,250,6.184,7.692,8.766
100,100,0.0,50,0.3,90,0.6,250,6.528,7.909,9.174
100,100,0.0,50,0.4,90,0.2,250,3.709,4.792,4.876
100,100,0.0,50,0.4,90,0.25,250,4.512,5.632,5.836
100,100,0.0,50,0.4,90,0.3,250,5.106,6.287,6.651
100,100,0.0,50,0.4,90,0.35,250,5.195,6.801,7.349
100,100,0.0,50,0.4,90,0.4,250,5.718,7.211,7.96
100,100,0.0,50,0.4,90,0.45,250,5.856,7.543,8.502
100,100,0.0,50,0.4,90,0.5,250,6.291,7.815,8.993
100,100,0.0,50,0.4,90,0.55,250,6.637,8.042,9.443
100,100,0.0,50,0.4,90,0.6,250,6.909,8.235,9.862
100,100,0.0,50,0.5,90,0.2,250,4.112,5.214,5.349
100,100,0.0,50,0.5,90,0.25,250,4.908,6.038,6.333
100,100,0.0,50,0.5,90,0.3,250,5.322,6.663,7.156
100,100,0.0,50,0.5,90,0.35,250,5.602,7.146,7.859
100,100,0.0,50,0.5,90,0.4,250,6.154,7.526,8.473
100,100,0.0,50,0.5,90,0.45,250,6.329,7.83,9.022
100,100,0.0,50,0.5,90,0.5,250,6.74,8.079,9.521
100,100,0.0,50,0.5,90,0.55,250,7.074,8.286,9.982
100,100,0.0,50,0.5,90,0.6,250,7.527,8.46,10.412
100,100,0.0,50,0.6,90,0.2,250,4.485,5.556,5.746
100,100,0.0,50,0.6,90,0.25,250,5.133,6.357,6.743
100,100,0.0,50,0.6,90,0.3,250,5.335,6.954,7.571
100,100,0.0,50,0.6,90,0.35,250,6.012,7.409,8.278
100,100,0.0,50,0.6,90,0.4,250,6.169,7.764,8.897
100,100,0.0,50,0.6,90,0.45,250,6.651,8.047,9.453
100,100,0.0,50,0.6,90,0.5,250,7.046,8.278,9.961
100,100,0.0,50,0.6,90,0.55,250,7.557,8.468,10.433
100,100,0.0,50,0.6,90,0.6,250,7.813,8.628,10.876
100,100,0.0,50,0.7,90,0.2,250,4.713,5.84,6.087
100,100,0.0,50,0.7,90,0.25,250,5.276,6.617,7.092
100,100,0.0,50,0.7,90,0.3,250,5.675,7.188,7.923
100,100,0.0,50,0.7,90,0.35,250,6.018,7.618,8.634
100,100,0.0,50,0.7,90,0.4,250,6.478,7.952,9.26
100,100,0.0,50,0.7,90,0.45,250,6.856,8.218,9.824
100,100,0.0,50,0.7,90,0.5,250,7.426,8.433,10.342
100,100,0.0,50,0.7,90,0.55,250,7.817,8.61,10.825
100,100,0.0,50,0.7,90,0.6,250,7.799,8.759,11.281
100,100,0.0,50,0.8,90,0.2,250,4.919,6.08,6.386
100,100,0.0,50,0.8,90,0.25,250,5.245,6.834,7.395
100,100,0.0,50,0.8,90,0.3,250,5.953,7.38,8.23
100,100,0.0,50,0.8,90,0.35,250,6.23,7.79,8.946
100,100,0.0,50,0.8,90,0.4,250,6.818,8.106,9.578
100,100,0.0,50,0.8,90,0.45,250,7.311,8.356,10.15
100,100,0.0,50,0.8,90,0.5,250,7.605,8.559,10.679
100,100,0.0,50,0.8,90,0.55,250,7.713,8.725,11.174
100,100,0.0,50,0.8,90,0.6,250,7.729,8.865,11.642
100,100,0.0,50,0.9,90,0.2,250,5.106,6.287,6.651
100,100,0.0,50,0.9,90,0.25,250,5.387,7.017,7.664
100,100,0.0,50,0.9,90,0.3,250,5.856,7.543,8.502
100,100,0.0,50,0.9,90,0.35,250,6.561,7.934,9.223
100,100,0.0,50,0.9,90,0.4,250,6.909,8.235,9.862
100,100,0.0,50,0.9,90,0.45,250,7.503,8.472,10.443
100,100,0.0,50,0.9,90,0.5,250,7.656,8.664,10.982
100,100,0.0,50,0.9,90,0.55,250,7.971,8.821,11.489
100,100,0.0,50,0.9,90,0.6,250,7.805,8.952,11.97
100,100,0.0,50,1.0,90,0.2,250,5.298,6.467,6.889
100,100,0.0,50,1.0,90,0.25,250,5.657,7.176,7.905
100,100,0.0,50,1.0,90,0.3,250,6.159,7.682,8.747
100,100,0.0,50,1.0,90,0.35,250,6.677,8.057,9.473
100,100,0.0,50,1.0,90,0.4,250,7.268,8.344,10.12
100,100,0.0,50,1.0,90,0.45,250,7.651,8.57,10.71
100,100,0.0,50,1.0,90,0.5,250,7.769,8.752,11.26
100,100,0.0,50,1.0,90,0.55,250,7.913,8.902,11.778
100,100,0.0,50,1.0,90,0.6,250,7.803,9.026,12.272
100,100,0.0,50,1.1,90,0.2,250,5.291,6.627,7.105
100,100,0.0,50,1.1,90,0.25,250,5.867,7.315,8.124
100,100,0.0,50,1.1,90,0.3,250,6.261,7.803,8.969
100,100,0.0,50,1.1,90,0.35,250,6.99,8.163,9.701
100,100,0.0,50,1.1,90,0.4,250,7.447,8.438,10.356
100,100,0.0,50,1.1,90,0.45,250,7.929,8.655,10.956
100,100,0.0,50,1.1,90,0.5,250,8.01,8.829,11.516
100,100,0.0,50,1.1,90,0.55,250,7.805,8.971,12.046
100,100,0.0,50,1.1,90,0.6,250,8.173,9.09,12.552
100,100,0.0,50,1.2,90,0.2,250,5.492,6.768,7.303
100,100,0.0,50,1.2,90,0.25,250,6.071,7.437,8.324
100,100,0.0,50,1.2,90,0.3,250,6.528,7.909,9.174
100,100,0.0,50,1.2,90,0.35,250,6.978,8.256,9.912
100,100,0.0,50,1.2,90,0.4,250,7.5,8.521,10.575
100,100,0.0,50,1.2,90,0.45,250,7.729,8.729,11.184
100,100,0.0,50,1.2,90,0.5,250,7.881,8.896,11.755
100,100,0.0,50,1.2,90,0.55,250,7.835,9.032,12.296
100,100,0.0,50,1.2,90,0.6,250,7.942,9.145,12.814
100,100,0.0,50,1.3,90,0.2,250,5.239,6.896,7.485
100,100,0.0,50,1.3,90,0.25,250,5.865,7.547,8.509
100,100,0.0,50,1.3,90,0.3,250,6.574,8.004,9.363
100,100,0.0,50,1.3,90,0.35,250,7.252,8.339,10.108
100,100,0.0,50,1.3,90,0.4,250,7.75,8.594,10.779
100,100,0.0,50,1.3,90,0.45,250,7.966,8.794,11.398
100,100,0.0,50,1.3,90,0.5,250,7.817,8.954,11.979
100,100,0.0,50,1.3,90,0.55,250,8.145,9.085,12.531
100,100,0.0,50,1.3,90,0.6,250,8.255,9.194,13.061
100,100,0.0,50,1.4,90,0.2,250,5.375,7.011,7.654
100,100,0.0,50,1.4,90,0.25,250,6.077,7.645,8.681
100,100,0.0,50,1.4,90,0.3,250,6.766,8.088,9.54
100,100,0.0,50,1.4,90,0.35,250,7.354,8.413,10.292
100,100,0.0,50,1.4,90,0.4,250,7.64,8.66,10.971
100,100,0.0,50,1.4,90,0.45,250,7.671,8.853,11.599
100,100,0.0,50,1.4,90,0.5,250,7.951,9.007,12.19
100,100,0.0,50,1.4,90,0.55,250,7.887,9.133,12.754
100,100,0.0,50,1.4,90,0.6,250,8.254,9.237,13.295
100,100,0.0,50,1.5,90,0.2,250,5.547,7.115,7.812
100,100,0.0,50,1.5,90,0.25,250,6.233,7.734,8.842
100,100,0.0,50,1.5,90,0.3,250,6.996,8.165,9.706
100,100,0.0,50,1.5,90,0.35,250,7.533,8.48,10.464
100,100,0.0,50,1.5,90,0.4,250,7.683,8.718,11.152
100,100,0.0,50,1.5,90,0.45,250,7.928,8.905,11.789
100,100,0.0,50,1.5,90,0.5,250,7.959,9.054,12.391
100,100,0.0,50,1.5,90,0.55,250,8.133,9.176,12.965
100,100,0.0,50,1.5,90,0.6,250,8.53,9.276,13.518
100,100,0.0,50,1.6,90,0.2,250,5.718,7.211,7.96
100,100,0.0,50,1.6,90,0.25,250,6.291,7.815,8.993
100,100,0.0,50,1.6,90,0.3,250,6.909,8.235,9.862
100,100,0.0,50,1.6,90,0.35,250,7.531,8.54,10.627
100,100,0.0,50,1.6,90,0.4,250,7.859,8.772,11.323
100,100,0.0,50,1.6,90,0.45,250,7.805,8.952,11.97
100,100,0.0,50,1.6,90,0.5,250,7.673,9.096,12.582
100,100,0.0,50,1.6,90,0.55,250,8.389,9.214,13.167
100,100,0.0,50,1.6,90,0.6,250,8.794,9.311,13.731
100,100,0.0,50,1.7,90,0.2,250,5.836,7.299,8.099
100,100,0.0,50,1.7,90,0.25,250,6.477,7.889,9.135
100,100,0.0,50,1.7,90,0.3,250,7.114,8.298,10.01
100,100,0.0,50,1.7,90,0.35,250,7.754,8.595,10.782
100,100,0.0,50,1.7,90,0.4,250,7.968,8.82,11.486
100,100,0.0,50,1.7,90,0.45,250,7.932,8.995,12.143
100,100,0.0,50,1.7,90,0.5,250,7.9,9.135,12.765
100,100,0.0,50,1.7,90,0.55,250,8.334,9.249,13.36
100,100,0.0,50,1.7,90,0.6,250,9.047,9.343,13.934
100,100,0.0,50,1.8,90,0.2,250,5.953,7.38,8.23
100,100,0.0,50,1.8,90,0.25,250,6.492,7.958,9.27
100,100,0.0,50,1.8,90,0.3,250,7.311,8.356,10.15
100,100,0.0,50,1.8,90,0.35,250,7.891,8.646,10.93
100,100,0.0,50,1.8,90,0.4,250,7.729,8.865,11.642
100,100,0.0,50,1.8,90,0.45,250,7.85,9.035,12.308
100,100,0.0,50,1.8,90,0.5,250,8.101,9.17,12.94
100,100,0.0,50,1.8,90,0.55,250,8.564,9.281,13.545
100,100,0.0,50,1.8,90,0.6,250,9.289,9.372,14.13
100,100,0.0,50,1.9,90,0.2,250,6.11,7.456,8.355
100,100,0.0,50,1.9,90,0.25,250,6.577,8.021,9.399
100,100,0.0,50,1.9,90,0.3,250,7.344,8.41,10.284
100,100,0.0,50,1.9,90,0.35,250,7.569,8.693,11.071
100,100,0.0,50,1.9,90,0.4,250,7.932,8.905,11.792
100,100,0.0,50,1.9,90,0.45,250,8.059,9.071,12.467
100,100,0.0,50,1.9,90,0.5,250,8.314,9.203,13.108
