S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q,Product
300,300,0.1,50,4,255.0,0.3,250,86.2515,73.51003870530936,86.26296925983026,15.0,0.16251892949777494,0.5889,0.013297461296631275,0,0.0848528137423857
300,300,0.1,50,4,255.0,0.4,250,83.8945,66.09361006817485,83.92921525021865,15.0,0.16251892949777494,0.5889,0.0413796497012953,0,0.1131370849898476
300,300,0.1,50,4,255.0,0.5,250,83.8056,61.299417824427294,83.63106482136806,15.0,0.16251892949777494,0.5889,0.2082619522226937,0,0.1414213562373095
300,300,0.1,50,5,255.0,0.3,250,95.3729,79.51573999262959,95.45178214783067,15.0,0.16251892949777494,0.5889,0.08270918450699173,0,0.09486832980505137
300,300,0.1,50,5,255.0,0.4,250,91.1443,69.80553728130266,91.2992402240009,15.0,0.16251892949777494,0.5889,0.16999441983853725,0,0.1264911064067352
300,300,0.1,50,5,255.0,0.5,250,90.2828,63.75862540190491,90.07651438228852,15.0,0.16251892949777494,0.5889,0.2284882809477248,0,0.15811388300841897
300,300,0.1,50,4,256.0,0.3,250,85.4102,72.34828973164642,85.37411160802813,14.6667,0.15860503017663852,0.5889,0.04225302361061452,0,0.0848528137423857
300,300,0.1,50,4,256.0,0.4,250,82.8257,64.89375854631125,82.98775010806148,14.6667,0.15860503017663852,0.5889,0.19565196317263686,0,0.1131370849898476
300,300,0.1,50,4,256.0,0.5,250,82.6604,60.10700024059571,82.68335832554976,14.6667,0.15860503017663852,0.5889,0.027774273472867112,0,0.1414213562373095
300,300,0.1,50,5,256.0,0.3,250,94.4096,78.21548454465606,94.4616171052042,14.6667,0.15860503017663852,0.5889,0.055097262570967594,0,0.09486832980505137
300,300,0.1,50,5,256.0,0.4,250,90.3316,68.50982106321717,90.28765798659427,14.6667,0.15860503017663852,0.5889,0.04864522869707366,0,0.1264911064067352
300,300,0.1,50,5,256.0,0.5,250,89.3174,62.49856510767772,89.08099703483228,14.6667,0.15860503017663852,0.5889,0.2646773922748838,0,0.15811388300841897
300,300,0.1,50,4,257.0,0.3,250,84.3746,71.16704476833073,84.46930634692168,14.3333,0.15470638976098125,0.5889,0.11224509143946505,0,0.0848528137423857
300,300,0.1,50,4,257.0,0.4,250,82.0335,63.6818237643737,82.03599284080354,14.3333,0.15470638976098125,0.5889,0.0030388082960506745,0,0.1131370849898476
300,300,0.1,50,4,257.0,0.5,250,81.8872,58.90663940174754,81.72870255724068,14.3333,0.15470638976098125,0.5889,0.19355582161720836,0,0.1414213562373095
300,300,0.1,50,5,257.0,0.3,250,93.2877,76.89577260756163,93.45569113375291,14.3333,0.15470638976098125,0.5889,0.18007854599578113,0,0.09486832980505137
300,300,0.1,50,5,257.0,0.4,250,89.0899,67.20258823691348,89.26636356891541,14.3333,0.15470638976098125,0.5889,0.1980735963508872,0,0.1264911064067352
300,300,0.1,50,5,257.0,0.5,250,88.1846,61.23116975858029,88.07913330936195,14.3333,0.15470638976098125,0.5889,0.11959762888084002,0,0.15811388300841897
300,300,0.1,50,4,258.0,0.3,250,83.4913,69.96615747482652,83.54841648281361,14.0,0.15082288973458366,0.5889,0.06841010118852135,0,0.0848528137423857
300,300,0.1,50,4,258.0,0.4,250,81.0263,62.45779057392873,81.0739217881462,14.0,0.15082288973458366,0.5889,0.05877324787900691,0,0.1131370849898476
300,300,0.1,50,4,258.0,0.5,250,80.9191,57.698349819618954,80.76710535673837,14.0,0.15082288973458366,0.5889,0.18783531114610866,0,0.1414213562373095
300,300,0.1,50,5,258.0,0.3,250,92.4218,75.5564747100075,92.43388631067342,14.0,0.15082288973458366,0.5889,0.013077337460870263,0,0.09486832980505137
300,300,0.1,50,5,258.0,0.4,250,88.3949,65.88382855106383,88.23534208154359,14.0,0.15082288973458366,0.5889,0.18050579666520852,0,0.1264911064067352
300,300,0.1,50,5,258.0,0.5,250,87.3649,59.956453486616084,87.07093217460277,14.0,0.15082288973458366,0.5899,0.3364827584043841,0,0.15811388300841897
300,300,0.1,50,4,259.0,0.3,250,82.5981,68.7454825340804,82.61130583449244,13.6667,0.14695441295666337,0.5889,0.01598806085423132,0,0.0848528137423857
300,300,0.1,50,4,259.0,0.4,250,80.0973,61.221644424165774,80.10151587936932,13.6667,0.14695441295666337,0.5889,0.005263447543565004,0,0.1131370849898476
300,300,0.1,50,4,259.0,0.5,250,79.854,56.48214616129695,79.79857477032988,13.6667,0.14695441295666337,0.5889,0.06940820706554557,0,0.1414213562373095
300,300,0.1,50,5,259.0,0.3,250,91.2806,74.19746206459605,91.3960852841787,13.6667,0.14695441295666337,0.5889,0.126516789086278,0,0.09486832980505137
300,300,0.1,50,5,259.0,0.4,250,87.2392,64.55353213633374,87.19457902757186,13.6667,0.14695441295666337,0.5889,0.05114784687174408,0,0.1264911064067352
300,300,0.1,50,5,259.0,0.5,250,86.2223,58.67443048165494,86.05640270280288,13.6667,0.14695441295666337,0.5889,0.1924064855578192,0,0.15811388300841897
300,300,0.1,50,4,260.0,0.3,250,81.5883,67.50487565066778,81.65783903871369,13.3333,0.1431008436406733,0.5889,0.0852316309001234,0,0.0848528137423857
300,300,0.1,50,4,260.0,0.4,250,79.0959,59.97337135170331,79.11875462593265,13.3333,0.1431008436406733,0.5889,0.028894830114648273,0,0.1131370849898476
300,300,0.1,50,4,260.0,0.5,250,78.9556,55.258043243823664,78.82311904536306,13.3333,0.1431008436406733,0.5889,0.16779171412407293,0,0.1414213562373095
300,300,0.1,50,5,260.0,0.3,250,90.2703,72.818606563462,90.3421712737676,13.3333,0.1431008436406733,0.5889,0.07961785190433465,0,0.09486832980505137
300,300,0.1,50,5,260.0,0.4,250,86.1829,63.211689498065994,86.1440602967796,13.3333,0.1431008436406733,0.5889,0.045066600474576717,0,0.1264911064067352
300,300,0.1,50,5,260.0,0.5,250,85.3872,57.3851149882705,85.03555406659731,13.3333,0.1431008436406733,0.591,0.41182511360331914,0,0.15811388300841897
300,300,0.1,50,4,261.0,0.3,250,80.5671,66.24419354835167,80.68788155507161,13.0,0.13926206733350766,0.5889,0.14991423927585362,0,0.0848528137423857
300,300,0.1,50,4,261.0,0.4,250,78.1712,58.71295797044047,78.12561811405205,13.0,0.13926206733350766,0.5889,0.05831033161567628,0,0.1131370849898476
300,300,0.1,50,4,261.0,0.5,250,78.0828,54.02605602889423,77.84074662538164,13.0,0.13926206733350766,0.589,0.30999576682491536,0,0.1414213562373095
300,300,0.1,50,5,261.0,0.3,250,89.1823,71.4197807736074,89.2720280701902,13.0,0.13926206733350766,0.5889,0.10061197142281011,0,0.09486832980505137
300,300,0.1,50,5,261.0,0.4,250,85.1376,61.8582915090376,85.0837721598335,13.0,0.13926206733350766,0.5889,0.06322452144117913,0,0.1264911064067352
300,300,0.1,50,5,261.0,0.5,250,84.2369,56.08852130264482,84.00839553592459,13.0,0.13926206733350766,0.5889,0.27126409456593686,0,0.15811388300841897
300,300,0.1,50,4,262.0,0.3,250,79.5749,64.96329396707226,79.70129967027341,12.6667,0.13543797089510426,0.5889,0.15884364325109387,0,0.0848528137423857
300,300,0.1,50,4,262.0,0.4,250,77.0395,57.44039146145788,77.12208699725383,12.6667,0.13543797089510426,0.5889,0.10720084794660807,0,0.1131370849898476
300,300,0.1,50,4,262.0,0.5,250,77.0725,52.786199617647085,76.85146614532474,12.6667,0.13543797089510426,0.5889,0.2867869274712374,0,0.1414213562373095
300,300,0.1,50,5,262.0,0.3,250,88.108,70.0008579319895,88.18554003511784,12.6667,0.13543797089510426,0.5889,0.08800566931247424,0,0.09486832980505137
300,300,0.1,50,5,262.0,0.4,250,84.0567,60.49332940229169,84.01370126251746,12.6667,0.13543797089510426,0.5889,0.05115444394384823,0,0.1264911064067352
